,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14022,1444.27,50,0.36%,0,0.00%
18-44,183183,38049,2077.10,276,0.73%,41,0.11%
45-64,116628,19921,1708.08,596,2.99%,197,0.99%
65-74,46724,5426,1161.29,505,9.31%,235,4.33%
75+,31987,3662,1144.84,677,18.49%,474,12.94%
,,,,,,,
Females,244460,42946,1756.77,1050,2.44%,423,0.98%
Males,231149,37425,1619.09,1050,2.81%,524,1.40%
Unknown,N/A,709,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,855,728.47,20,2.34%,7,0.82%
Black,42291,6719,1588.75,254,3.78%,86,1.28%
White,408000,58866,1442.79,1743,2.96%,818,1.39%
Hawaiian/Pacific Islander,585,91,1555.56,4,4.40%,0,0.00%
Other ,12996,3982,3064.02,37,0.93%,6,0.15%
Unknown,N/A,10567,N/A,46,0.44%,30,0.28%
,,,,,,,
Hispanic,22336,3624,1622.49,91,2.51%,13,0.36%
Non-Hispanic,453273,58200,1283.99,1910,3.28%,857,1.47%
Unknown,N/A,19256,N/A,103,0.53%,77,0.40%
,,,,,,,
Total,"475,609",81080,1704.76,2104,2.59%,947,1.17%
