,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4997,516.08,23,0.46%,0,0.00%,,,
18-44,"173,546",21244,1224.11,154,0.72%,10,0.05%,,,
45-64,"116,740",11308,968.65,310,2.74%,71,0.63%,,,
65-74,"40,633",3221,792.71,249,7.73%,116,3.60%,,,
75+,"28,440",2355,828.06,407,17.28%,287,12.19%,,,
,,,,,,,,,,
Females,242211,22805,941.53,582,2.55%,220,0.96%,,,
Males,228102,19950,874.61,557,2.79%,264,1.32%,,,
Unknown,N/A,370,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,505,447.42,11,2.18%,3,0.59%,,,
Black,41858,3131,748.01,126,4.02%,33,1.05%,,,
White,404469,31647,782.43,949,3.00%,398,1.26%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1352,1105.57,18,1.33%,3,0.22%,,,
Unknown,N/A,6440,N/A,35,0.54%,46,0.71%,,,
,,,,,,,,,,
Hispanic,20694,2384,1152.02,63,2.64%,9,0.38%,,,
Non-Hispanic,449619,30290,673.68,1019,3.36%,417,1.38%,,,
Unknown,N/A,10451,N/A,61,0.58%,58,0.55%,,,
,,,,,,,,,,
Total,"470,313",43125,916.94,1143,2.65%,484,1.12%,,,
