,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13790,1420.38,49,0.36%,0,0.00%
18-44,183183,37377,2040.42,270,0.72%,40,0.11%
45-64,116628,19537,1675.16,569,2.91%,191,0.98%
65-74,46724,5326,1139.89,499,9.37%,233,4.37%
75+,31987,3594,1123.58,668,18.59%,471,13.11%
,,,,,,,
Females,244460,42168,1724.94,1021,2.42%,417,0.99%
Males,231149,36754,1590.06,1030,2.80%,518,1.41%
Unknown,N/A,702,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,830,707.17,19,2.29%,7,0.84%
Black,42291,6637,1569.36,250,3.77%,86,1.30%
White,408000,57629,1412.48,1703,2.96%,806,1.40%
Hawaiian/Pacific Islander,585,90,1538.46,4,4.44%,0,0.00%
Other ,12996,3902,3002.46,35,0.90%,6,0.15%
Unknown,N/A,10536,N/A,44,0.42%,30,0.28%
,,,,,,,
Hispanic,22336,3572,1599.21,88,2.46%,13,0.36%
Non-Hispanic,453273,57043,1258.47,1865,3.27%,846,1.48%
Unknown,N/A,19009,N/A,102,0.54%,76,0.40%
,,,,,,,
Total,"475,609",79624,1674.15,2055,2.58%,935,1.17%
