,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5254,542.62,23,0.44%,0,0.00%,,,
18-44,"173,546",21903,1262.09,159,0.73%,11,0.05%,,,
45-64,"116,740",11670,999.66,317,2.72%,76,0.65%,,,
65-74,"40,633",3314,815.59,260,7.85%,121,3.65%,,,
75+,"28,440",2422,851.62,422,17.42%,301,12.43%,,,
,,,,,,,,,,
Females,242211,23565,972.91,603,2.56%,230,0.98%,,,
Males,228102,20628,904.33,575,2.79%,279,1.35%,,,
Unknown,N/A,370,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,470,416.41,12,2.55%,4,0.85%,,,
Black,41858,3238,773.57,129,3.98%,33,1.02%,,,
White,404469,32835,811.81,982,2.99%,421,1.28%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1435,1173.44,19,1.32%,3,0.21%,,,
Unknown,N/A,6481,N/A,35,0.54%,47,0.73%,,,
,,,,,,,,,,
Hispanic,20694,2459,1188.27,65,2.64%,10,0.41%,,,
Non-Hispanic,449619,31538,701.44,1051,3.33%,437,1.39%,,,
Unknown,N/A,10566,N/A,65,0.62%,62,0.59%,,,
,,,,,,,,,,
Total,"470,313",44563,947.52,1181,2.65%,509,1.14%,,,
