,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5059,522.48,23,0.45%,0,0.00%,,,
18-44,"173,546",21409,1233.62,155,0.72%,10,0.05%,,,
45-64,"116,740",11398,976.36,312,2.74%,73,0.64%,,,
65-74,"40,633",3239,797.14,251,7.75%,117,3.61%,,,
75+,"28,440",2371,833.68,407,17.17%,290,12.23%,,,
,,,,,,,,,,
Females,242211,22997,949.46,587,2.55%,224,0.97%,,,
Males,228102,20116,881.89,558,2.77%,266,1.32%,,,
Unknown,N/A,363,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,470,416.41,12,2.55%,4,0.85%,,,
Black,41858,3163,755.65,128,4.05%,33,1.04%,,,
White,404469,31983,790.74,951,2.97%,402,1.26%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1384,1131.74,19,1.37%,3,0.22%,,,
Unknown,N/A,6385,N/A,34,0.53%,47,0.74%,,,
,,,,,,,,,,
Hispanic,20694,2418,1168.45,65,2.69%,9,0.37%,,,
Non-Hispanic,449619,30702,682.84,1023,3.33%,422,1.37%,,,
Unknown,N/A,10356,N/A,60,0.58%,59,0.57%,,,
,,,,,,,,,,
Total,"470,313",43476,924.41,1148,2.64%,490,1.13%,,,
