,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",724,74.77,7,0.97%,0,0.00%,,,
18-44,"173,546",4055,233.66,74,1.82%,5,0.12%,,,
45-64,"116,740",1574,134.83,100,6.35%,16,1.02%,,,
65-74,"40,633",384,94.50,36,9.38%,12,3.13%,,,
75+,"28,440",250,87.90,52,20.80%,26,10.40%,,,
,,,,,,,,,,
Females,242211,3567,147.27,137,3.84%,21,0.59%,,,
Males,228102,3365,147.52,132,3.92%,38,1.13%,,,
,,,,,,,,,,
Asian,11287,66,58.47,2,3.03%,0,0.00%,,,
Black,41858,802,191.60,56,6.98%,10,1.25%,,,
White,404469,4861,120.18,191,3.93%,40,0.82%,,,
Hawaiian/Pacific Islander,470,20,425.53,4,20.00%,0,0.00%,,,
Other ,12229,364,297.65,8,2.20%,2,0.55%,,,
Unknown,N/A,874,N/A,8,0.92%,7,0.80%,,,
,,,,,,,,,,
Hispanic,20694,981,474.05,45,4.59%,5,0.51%,,,
Non-Hispanic,449619,4928,109.60,212,4.30%,43,0.87%,,,
Unknown,N/A,1078,N/A,12,1.11%,11,1.02%,,,
,,,,,,,,,,
Total,"470,313",6987,148.56,269,3.85%,59,0.84%,,,
