,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1424,147.07,11,0.77%,0,0.00%,,,
18-44,"173,546",7716,444.61,112,1.45%,5,0.06%,,,
45-64,"116,740",3069,262.89,159,5.18%,21,0.68%,,,
65-74,"40,633",808,198.85,82,10.15%,25,3.09%,,,
75+,"28,440",521,183.19,104,19.96%,52,9.98%,,,
,,,,,,,,,,
Females,242211,7027,290.12,246,3.50%,37,0.53%,,,
Males,228102,6431,281.94,221,3.44%,66,1.03%,,,
Unknown,N/A,80,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,144,127.58,3,2.08%,0,0.00%,,,
Black,41858,1267,302.69,84,6.63%,16,1.26%,,,
White,404469,10058,248.67,355,3.53%,83,0.83%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,521,426.04,13,2.50%,2,0.38%,,,
Unknown,N/A,1518,N/A,9,0.59%,2,0.13%,,,
,,,,,,,,,,
Hispanic,20694,1307,631.58,49,3.75%,4,0.31%,,,
Non-Hispanic,449619,10459,232.62,409,3.91%,92,0.88%,,,
Unknown,N/A,1772,N/A,10,0.56%,7,0.40%,,,
,,,,,,,,,,
Total,"470,313",13538,287.85,468,3.46%,103,0.76%,,,
