,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1617,167.00,11,0.68%,0,0.00%,,,
18-44,"173,546",8440,486.33,118,1.40%,5,0.06%,,,
45-64,"116,740",3459,296.30,167,4.83%,23,0.66%,,,
65-74,"40,633",933,229.62,87,9.32%,28,3.00%,,,
75+,"28,440",615,216.24,120,19.51%,63,10.24%,,,
,,,,,,,,,,
Females,242211,7833,323.40,263,3.36%,40,0.51%,,,
Males,228102,7120,312.14,238,3.34%,79,1.11%,,,
Unknown,N/A,111,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,152,134.67,4,2.63%,0,0.00%,,,
Black,41858,1316,314.40,85,6.46%,17,1.29%,,,
White,404469,11184,276.51,387,3.46%,98,0.88%,,,
Hawaiian/Pacific Islander,470,31,659.57,4,12.90%,0,0.00%,,,
Other ,12229,550,449.75,13,2.36%,2,0.36%,,,
Unknown,N/A,1831,N/A,10,0.55%,2,0.11%,,,
,,,,,,,,,,
Hispanic,20694,1359,656.71,49,3.61%,4,0.29%,,,
Non-Hispanic,449619,11473,255.17,442,3.85%,107,0.93%,,,
Unknown,N/A,2232,N/A,12,0.54%,8,0.36%,,,
,,,,,,,,,,
Total,"470,313",15064,320.30,503,3.34%,119,0.79%,,,
