,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13860,1427.59,49,0.35%,0,0.00%
18-44,183183,37569,2050.90,271,0.72%,40,0.11%
45-64,116628,19633,1683.39,577,2.94%,192,0.98%
65-74,46724,5361,1147.38,501,9.35%,234,4.36%
75+,31987,3622,1132.34,672,18.55%,472,13.03%
,,,,,,,
Females,244460,42396,1734.27,1027,2.42%,418,0.99%
Males,231149,36949,1598.49,1039,2.81%,520,1.41%
Unknown,N/A,700,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,842,717.39,19,2.26%,7,0.83%
Black,42291,6664,1575.75,253,3.80%,86,1.29%
White,408000,58022,1422.11,1714,2.95%,809,1.39%
Hawaiian/Pacific Islander,585,90,1538.46,4,4.44%,0,0.00%
Other ,12996,3926,3020.93,36,0.92%,6,0.15%
Unknown,N/A,10501,N/A,44,0.42%,30,0.29%
,,,,,,,
Hispanic,22336,3588,1606.38,89,2.48%,13,0.36%
Non-Hispanic,453273,57483,1268.18,1880,3.27%,849,1.48%
Unknown,N/A,18974,N/A,101,0.53%,76,0.40%
,,,,,,,
Total,"475,609",80045,1683.00,2070,2.59%,938,1.17%
