,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4233,437.18,20,0.47%,0,0.00%,,,
18-44,"173,546",19009,1095.33,142,0.75%,10,0.05%,,,
45-64,"116,740",10062,861.92,263,2.61%,51,0.51%,,,
65-74,"40,633",2845,700.17,199,6.99%,86,3.02%,,,
75+,"28,440",2077,730.31,312,15.02%,226,10.88%,,,
,,,,,,,,,,
Females,242211,20127,830.97,469,2.33%,158,0.79%,,,
Males,228102,17708,776.32,465,2.63%,215,1.21%,,,
Unknown,N/A,391,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,375,332.24,8,2.13%,2,0.53%,,,
Black,41858,2646,632.14,112,4.23%,28,1.06%,,,
White,404469,26840,663.59,770,2.87%,297,1.11%,,,
Hawaiian/Pacific Islander,470,43,914.89,4,9.30%,1,2.33%,,,
Other ,12229,1249,1021.34,15,1.20%,3,0.24%,,,
Unknown,N/A,7073,N/A,27,0.38%,42,0.59%,,,
,,,,,,,,,,
Hispanic,20694,2023,977.58,57,2.82%,9,0.44%,,,
Non-Hispanic,449619,24660,548.46,833,3.38%,318,1.29%,,,
Unknown,N/A,11543,N/A,46,0.40%,46,0.40%,,,
,,,,,,,,,,
Total,"470,313",38226,812.78,936,2.45%,373,0.98%,,,
