,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5946,614.09,27,0.45%,0,0.00%,,,
18-44,"173,546",24005,1383.21,174,0.72%,11,0.05%,,,
45-64,"116,740",12917,1106.48,355,2.75%,84,0.65%,,,
65-74,"40,633",3640,895.82,299,8.21%,141,3.87%,,,
75+,"28,440",2609,917.37,459,17.59%,369,14.14%,,,
,,,,,,,,,,
Females,242211,26015,1074.06,659,2.53%,278,1.07%,,,
Males,228102,22767,998.11,651,2.86%,327,1.44%,,,
Unknown,N/A,335,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,595,527.16,13,2.18%,5,0.84%,,,
Black,41858,3682,879.64,148,4.02%,38,1.03%,,,
White,404469,37223,920.29,1096,2.94%,531,1.43%,,,
Hawaiian/Pacific Islander,470,59,1255.32,4,6.78%,0,0.00%,,,
Other ,12229,1582,1293.65,22,1.39%,3,0.19%,,,
Unknown,N/A,5976,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2643,1277.18,71,2.69%,6,0.23%,,,
Non-Hispanic,449619,36853,819.65,1189,3.23%,541,1.47%,,,
Unknown,N/A,9621,N/A,54,0.56%,58,0.60%,,,
,,,,,,,,,,
Total,"470,313",49117,1044.35,1314,2.68%,605,1.23%,,,
