,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",777,80.25,9,1.16%,0,0.00%,,,
18-44,"173,546",4724,272.20,82,1.74%,5,0.11%,,,
45-64,"116,740",1651,141.43,104,6.30%,16,0.97%,,,
65-74,"40,633",414,101.89,39,9.42%,13,3.14%,,,
75+,"28,440",276,97.05,55,19.93%,29,10.51%,,,
,,,,,,,,,,
Females,242211,4049,167.17,151,3.73%,24,0.59%,,,
Males,228102,3740,163.96,138,3.69%,39,1.04%,,,
Unknown,N/A,53,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,83,73.54,2,2.41%,0,0.00%,,,
Black,41858,852,203.55,58,6.81%,10,1.17%,,,
White,404469,5492,135.78,209,3.81%,44,0.80%,,,
Hawaiian/Pacific Islander,470,23,489.36,4,17.39%,0,0.00%,,,
Other ,12229,382,312.37,9,2.36%,2,0.52%,,,
Unknown,N/A,1010,N/A,7,0.69%,7,0.69%,,,
,,,,,,,,,,
Hispanic,20694,1023,494.35,45,4.40%,5,0.49%,,,
Non-Hispanic,449619,5611,124.79,235,4.19%,47,0.84%,,,
Unknown,N/A,1208,N/A,9,0.75%,11,0.91%,,,
,,,,,,,,,,
Total,"470,313",7842,166.74,289,3.69%,63,0.80%,,,
