,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,10443,1075.63,35,0.34%,0,0.00%
18-44,183183,31037,1694.32,216,0.70%,19,0.06%
45-64,116628,16043,1375.57,434,2.71%,124,0.77%
65-74,46724,4379,937.21,374,8.54%,169,3.86%
75+,31987,3004,939.13,532,17.71%,408,13.58%
,,,,,,,
Females,244460,34387,1406.65,795,2.31%,318,0.92%
Males,231149,29970,1296.57,793,2.65%,402,1.34%
Unknown,N/A,549,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,704,599.81,16,2.27%,6,0.85%
Black,42291,5319,1257.71,195,3.67%,58,1.09%
White,408000,47130,1155.15,1315,2.79%,623,1.32%
Hawaiian/Pacific Islander,585,79,1350.43,4,5.06%,0,0.00%
Other ,12996,2962,2279.16,28,0.95%,5,0.17%
Unknown,N/A,8712,N/A,33,0.38%,28,0.32%
,,,,,,,
Hispanic,22336,3101,1388.34,77,2.48%,10,0.32%
Non-Hispanic,453273,46268,1020.75,1441,3.11%,648,1.40%
Unknown,N/A,15537,N/A,73,0.47%,62,0.40%
,,,,,,,
Total,"475,609",64906,1364.69,1591,2.45%,720,1.11%
