,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1759,181.67,12,0.68%,0,0.00%,,,
18-44,"173,546",9186,529.31,121,1.32%,5,0.05%,,,
45-64,"116,740",3839,328.85,170,4.43%,23,0.60%,,,
65-74,"40,633",1044,256.93,92,8.81%,29,2.78%,,,
75+,"28,440",695,244.37,135,19.42%,74,10.65%,,,
,,,,,,,,,,
Females,242211,8612,355.56,274,3.18%,46,0.53%,,,
Males,228102,7776,340.90,254,3.27%,85,1.09%,,,
Unknown,N/A,135,N/A,1,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,174,154.16,4,2.30%,0,0.00%,,,
Black,41858,1375,328.49,85,6.18%,17,1.24%,,,
White,404469,12221,302.15,415,3.40%,106,0.87%,,,
Hawaiian/Pacific Islander,470,32,680.85,4,12.50%,0,0.00%,,,
Other ,12229,1748,1429.39,13,0.74%,2,0.11%,,,
Unknown,N/A,982,N/A,9,0.92%,5,0.51%,,,
,,,,,,,,,,
Hispanic,20694,1405,678.94,49,3.49%,4,0.28%,,,
Non-Hispanic,449619,12494,277.88,470,3.76%,114,0.91%,,,
Unknown,N/A,2633,N/A,11,0.42%,12,0.46%,,,
,,,,,,,,,,
Total,"470,313",16523,351.32,530,3.21%,131,0.79%,,,
