,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1975,203.97,13,0.66%,0,0.00%,,,
18-44,"173,546",10042,578.64,125,1.24%,6,0.06%,,,
45-64,"116,740",4403,377.16,189,4.29%,25,0.57%,,,
65-74,"40,633",1232,303.20,104,8.44%,38,3.08%,,,
75+,"28,440",828,291.14,153,18.48%,86,10.39%,,,
,,,,,,,,,,
Females,242211,9621,397.22,295,3.07%,57,0.59%,,,
Males,228102,8703,381.54,287,3.30%,98,1.13%,,,
Unknown,N/A,156,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,195,172.77,5,2.56%,1,0.51%,,,
Black,41858,1483,354.29,88,5.93%,17,1.15%,,,
White,404469,13558,335.20,464,3.42%,123,0.91%,,,
Hawaiian/Pacific Islander,470,36,765.96,4,11.11%,0,0.00%,,,
Other ,12229,644,526.62,13,2.02%,2,0.31%,,,
Unknown,N/A,2564,N/A,10,0.39%,12,0.47%,,,
,,,,,,,,,,
Hispanic,20694,1458,704.55,49,3.36%,5,0.34%,,,
Non-Hispanic,449619,13710,304.92,523,3.81%,131,0.96%,,,
Unknown,N/A,3312,N/A,12,0.36%,19,0.57%,,,
,,,,,,,,,,
Total,"470,313",18480,392.93,584,3.16%,155,0.84%,,,
