,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",6410,662.01,28,0.44%,0,0.00%,,
18-44,"173,546",25595,1474.83,191,0.75%,13,0.05%,,
45-64,"116,740",13698,1173.38,398,2.91%,97,0.71%,,
65-74,"40,633",3790,932.74,319,8.42%,144,3.80%,,
75+,"28,440",2664,936.71,480,18.02%,384,14.41%,,
,,,,,,,,,
Females,242211,27576,1138.51,706,2.56%,289,1.05%,,
Males,228102,24231,1062.29,706,2.91%,349,1.44%,,
Unknown,N/A,350,N/A,4,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,636,563.48,14,2.20%,6,0.94%,,
Black,41858,3917,935.78,162,4.14%,44,1.12%,,
White,404469,39767,983.19,1181,2.97%,557,1.40%,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,
Other ,12229,1797,1469.46,22,1.22%,3,0.17%,,
Unknown,N/A,5976,N/A,33,0.55%,28,0.47%,,
,,,,,,,,,
Hispanic,20694,2790,1348.22,73,2.62%,6,0.22%,,
Non-Hispanic,449619,39696,882.88,1282,3.23%,573,1.44%,,
Unknown,N/A,9671,N/A,61,0.63%,59,0.61%,,
,,,,,,,,,
Total,"470,313",52157,1108.98,1416,2.71%,638,1.22%,,
