,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,12598,1297.60,46,0.37%,0,0.00%
18-44,183183,34818,1900.72,230,0.66%,31,0.09%
45-64,116628,18078,1550.06,461,2.55%,159,0.88%
65-74,46724,4912,1051.28,438,8.92%,200,4.07%
75+,31987,3309,1034.48,598,18.07%,438,13.24%
,,,,,,,
Females,244460,39069,1598.18,894,2.29%,369,0.94%
Males,231149,34018,1471.69,876,2.58%,459,1.35%
Unknown,N/A,628,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,773,658.60,17,2.20%,7,0.91%
Black,42291,6049,1430.33,221,3.65%,76,1.26%
White,408000,52206,1279.56,1466,2.81%,711,1.36%
Hawaiian/Pacific Islander,585,88,1504.27,4,4.55%,0,0.00%
Other ,12996,3563,2741.61,29,0.81%,5,0.14%
Unknown,N/A,11036,N/A,36,0.33%,29,0.26%
,,,,,,,
Hispanic,22336,3326,1489.08,81,2.44%,11,0.33%
Non-Hispanic,453273,50255,1108.71,1607,3.20%,750,1.49%
Unknown,N/A,20134,N/A,85,0.42%,67,0.33%
,,,,,,,
Total,"475,609",73715,1549.91,1773,2.41%,828,1.12%
