,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13304,1370.32,47,0.35%,0,0.00%
18-44,183183,36326,1983.04,246,0.68%,40,0.11%
45-64,116628,18946,1624.48,493,2.60%,175,0.92%
65-74,46724,5149,1102.00,470,9.13%,214,4.16%
75+,31987,3474,1086.07,630,18.13%,452,13.01%
,,,,,,,
Females,244460,40851,1671.07,944,2.31%,396,0.97%
Males,231149,35640,1541.86,939,2.63%,485,1.36%
Unknown,N/A,708,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,792,674.79,18,2.27%,7,0.88%
Black,42291,6451,1525.38,233,3.61%,82,1.27%
White,408000,55492,1360.10,1561,2.81%,758,1.37%
Hawaiian/Pacific Islander,585,89,1521.37,4,4.49%,0,0.00%
Other ,12996,3852,2963.99,32,0.83%,5,0.13%
Unknown,N/A,10523,N/A,38,0.36%,29,0.28%
,,,,,,,
Hispanic,22336,3469,1553.10,83,2.39%,11,0.32%
Non-Hispanic,453273,54686,1206.47,1715,3.14%,800,1.46%
Unknown,N/A,19044,N/A,88,0.46%,70,0.37%
,,,,,,,
Total,"475,609",77199,1623.16,1886,2.44%,881,1.14%
