,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14161,1458.59,50,0.35%,0,0.00%
18-44,183183,38433,2098.07,280,0.73%,41,0.11%
45-64,116628,20133,1726.26,609,3.02%,203,1.01%
65-74,46724,5490,1174.99,508,9.25%,236,4.30%
75+,31987,3697,1155.78,688,18.61%,480,12.98%
,,,,,,,
Females,244460,43388,1774.85,1067,2.46%,428,0.99%
Males,231149,37826,1636.43,1065,2.82%,532,1.41%
Unknown,N/A,700,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,869,740.39,20,2.30%,7,0.81%
Black,42291,6778,1602.71,257,3.79%,88,1.30%
White,408000,59531,1459.09,1771,2.97%,829,1.39%
Hawaiian/Pacific Islander,585,92,1572.65,4,4.35%,0,0.00%
Other ,12996,4030,3100.95,37,0.92%,6,0.15%
Unknown,N/A,10614,N/A,46,0.43%,30,0.28%
,,,,,,,
Hispanic,22336,3652,1635.03,91,2.49%,13,0.36%
Non-Hispanic,453273,58817,1297.61,1940,3.30%,870,1.48%
Unknown,N/A,19445,N/A,104,0.53%,77,0.40%
,,,,,,,
Total,"475,609",81914,1722.30,2135,2.61%,960,1.17%
