,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",956,98.73,9,0.94%,0,0.00%,,
18-44,"173,546",5788,333.51,97,1.68%,5,0.09%,,
45-64,"116,740",1937,165.92,116,5.99%,17,0.88%,,
65-74,"40,633",499,122.81,49,9.82%,19,3.81%,,
75+,"28,440",317,111.46,65,20.50%,32,10.09%,,
,,,,,,,,,
Females,242211,4903,202.43,172,3.51%,26,0.53%,,
Males,228102,4539,198.99,164,3.61%,47,1.04%,,
Unknown,N/A,55,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,117,103.66,2,1.71%,0,0.00%,,
Black,41858,966,230.78,70,7.25%,10,1.04%,,
White,404469,6889,170.32,243,3.53%,53,0.77%,,
Hawaiian/Pacific Islander,470,27,574.47,4,14.81%,0,0.00%,,
Other ,12229,442,361.44,9,2.04%,2,0.45%,,
Unknown,N/A,1056,N/A,8,0.76%,8,0.76%,,
,,,,,,,,,
Hispanic,20694,1136,548.95,46,4.05%,5,0.44%,,
Non-Hispanic,449619,7117,158.29,281,3.95%,56,0.79%,,
Unknown,N/A,1244,N/A,9,0.72%,12,0.96%,,
,,,,,,,,,
Total,"470,313",9497,201.93,336,3.54%,73,0.77%,,
