,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",6371,657.98,28,0.44%,0,0.00%,,
18-44,"173,546",25203,1452.24,191,0.76%,14,0.06%,,
45-64,"116,740",13472,1154.02,396,2.94%,101,0.75%,,
65-74,"40,633",3759,925.11,318,8.46%,146,3.88%,,
75+,"28,440",2636,926.86,481,18.25%,387,14.68%,,
,,,,,,,,,
Females,242211,27193,1122.70,710,2.61%,292,1.07%,,
Males,228102,23919,1048.61,701,2.93%,356,1.49%,,
Unknown,N/A,329,N/A,3,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,629,557.28,15,2.38%,6,0.95%,,
Black,41858,3934,939.84,163,4.14%,46,1.17%,,
White,404469,39300,971.64,1179,3.00%,564,1.44%,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,
Other ,12229,1797,1469.46,23,1.28%,4,0.22%,,
Unknown,N/A,5717,N/A,30,0.52%,28,0.49%,,
,,,,,,,,,
Hispanic,20694,2775,1340.97,73,2.63%,6,0.22%,,
Non-Hispanic,449619,39373,875.70,1284,3.26%,583,1.48%,,
Unknown,N/A,9293,N/A,57,0.61%,59,0.63%,,
,,,,,,,,,
Total,"470,313",51441,1093.76,1414,2.75%,648,1.26%,,
