,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,14282,1471.05,50,0.35%,0,0.00%
18-44,183183,38778,2116.90,283,0.73%,41,0.11%
45-64,116628,20299,1740.49,617,3.04%,206,1.01%
65-74,46724,5540,1185.69,517,9.33%,240,4.33%
75+,31987,3727,1165.16,697,18.70%,493,13.23%
,,,,,,,
Females,244460,43778,1790.80,1081,2.47%,434,0.99%
Males,231149,38150,1650.45,1080,2.83%,546,1.43%
Unknown,N/A,698,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,888,756.58,20,2.25%,7,0.79%
Black,42291,6824,1613.58,260,3.81%,89,1.30%
White,408000,60100,1473.04,1793,2.98%,847,1.41%
Hawaiian/Pacific Islander,585,94,1606.84,4,4.26%,0,0.00%
Other ,12996,4075,3135.58,38,0.93%,6,0.15%
Unknown,N/A,10645,N/A,49,0.46%,31,0.29%
,,,,,,,
Hispanic,22336,3671,1643.54,91,2.48%,13,0.35%
Non-Hispanic,453273,59362,1309.63,1962,3.31%,889,1.50%
Unknown,N/A,19593,N/A,111,0.57%,78,0.40%
,,,,,,,
Total,"475,609",82626,1737.27,2164,2.62%,980,1.19%
