,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5759,594.78,27,0.47%,0,0.00%,,,
18-44,"173,546",23331,1344.37,168,0.72%,11,0.05%,,,
45-64,"116,740",12579,1077.52,343,2.73%,81,0.64%,,,
65-74,"40,633",3562,876.63,289,8.11%,133,3.73%,,,
75+,"28,440",2565,901.90,452,17.62%,322,12.55%,,,
,,,,,,,,,,
Females,242211,25305,1044.75,646,2.55%,245,0.97%,,,
Males,228102,22129,970.14,629,2.84%,302,1.36%,,,
Unknown,N/A,362,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,576,510.32,13,2.26%,4,0.69%,,,
Black,41858,3538,845.24,143,4.04%,34,0.96%,,,
White,404469,36088,892.23,1067,2.96%,457,1.27%,,,
Hawaiian/Pacific Islander,470,57,1212.77,4,7.02%,1,1.75%,,,
Other ,12229,1550,1267.48,21,1.35%,3,0.19%,,,
Unknown,N/A,5987,N/A,31,0.52%,48,0.80%,,,
,,,,,,,,,,
Hispanic,20694,2600,1256.40,70,2.69%,10,0.38%,,,
Non-Hispanic,449619,35538,790.40,1155,3.25%,471,1.33%,,,
Unknown,N/A,9658,N/A,54,0.56%,66,0.68%,,,
,,,,,,,,,,
Total,"470,313",47796,1016.26,1279,2.68%,547,1.14%,,,
