,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",2142,221.22,13,0.61%,0,0.00%,,,
18-44,"173,546",10780,621.16,126,1.17%,7,0.06%,,,
45-64,"116,740",4828,413.57,192,3.98%,27,0.56%,,,
65-74,"40,633",1364,335.69,104,7.62%,43,3.15%,,,
75+,"28,440",912,320.68,158,17.32%,95,10.42%,,,
,,,,,,,,,,
Females,242211,10423,430.33,300,2.88%,64,0.61%,,,
Males,228102,9425,413.19,291,3.09%,108,1.15%,,,
Unknown,N/A,178,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,208,184.28,5,2.40%,1,0.48%,,,
Black,41858,1552,370.78,91,5.86%,21,1.35%,,,
White,404469,14375,355.40,470,3.27%,135,0.94%,,,
Hawaiian/Pacific Islander,470,36,765.96,4,11.11%,0,0.00%,,,
Other ,12229,667,545.42,13,1.95%,2,0.30%,,,
Unknown,N/A,3188,N/A,10,0.31%,13,0.41%,,,
,,,,,,,,,,
Hispanic,20694,1485,717.60,49,3.30%,7,0.47%,,,
Non-Hispanic,449619,14207,315.98,530,3.73%,145,1.02%,,,
Unknown,N/A,4334,N/A,14,0.32%,20,0.46%,,,
,,,,,,,,,,
Total,"470,313",20026,425.80,593,2.96%,172,0.86%,,,
