,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",3175,327.91,13,0.41%,0,0.00%,,,
18-44,"173,546",14585,840.41,131,0.90%,8,0.05%,,,
45-64,"116,740",7279,623.52,208,2.86%,31,0.43%,,,
65-74,"40,633",2031,499.84,132,6.50%,61,3.00%,,,
75+,"28,440",1391,489.10,220,15.82%,158,11.36%,,,
,,,,,,,,,,
Females,242211,14919,615.95,352,2.36%,105,0.70%,,,
Males,228102,13263,581.45,350,2.64%,153,1.15%,,,
Unknown,N/A,279,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,263,233.01,7,2.66%,1,0.38%,,,
Black,41858,1934,462.04,99,5.12%,24,1.24%,,,
White,404469,18743,463.40,563,3.00%,208,1.11%,,,
Hawaiian/Pacific Islander,470,40,851.06,4,10.00%,1,2.50%,,,
Other ,12229,866,708.15,13,1.50%,2,0.23%,,,
Unknown,N/A,6615,N/A,18,0.27%,23,0.35%,,,
,,,,,,,,,,
Hispanic,20694,1630,787.67,51,3.13%,8,0.49%,,,
Non-Hispanic,449619,17315,385.10,630,3.64%,220,1.27%,,,
Unknown,N/A,9516,N/A,23,0.24%,230,2.42%,,,
,,,,,,,,,,
Total,"470,313",28461,605.15,704,2.47%,258,0.91%,,,
