,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",5613,579.70,27,0.48%,0,0.00%,,
18-44,"173,546",22880,1318.38,166,0.73%,11,0.05%,,
45-64,"116,740",12264,1050.54,333,2.72%,78,0.64%,,
65-74,"40,633",3491,859.15,280,8.02%,129,3.70%,,
75+,"28,440",2544,894.51,446,17.53%,317,12.46%,,
,,,,,,,,,
Females,242211,24768,1022.58,635,2.56%,241,0.97%,,
Males,228102,21652,949.22,614,2.84%,294,1.36%,,
Unknown,N/A,372,N/A,3,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,566,501.46,12,2.12%,4,0.71%,,
Black,41858,3454,825.17,139,4.02%,34,0.98%,,
White,404469,35166,869.44,1047,2.98%,446,1.27%,,
Hawaiian/Pacific Islander,470,57,1212.77,4,7.02%,1,1.75%,,
Other ,12229,1517,1240.49,20,1.32%,3,0.20%,,
Unknown,N/A,6032,N/A,30,0.50%,47,0.78%,,
,,,,,,,,,
Hispanic,20694,2550,1232.24,69,2.71%,10,0.39%,,
Non-Hispanic,449619,34452,766.25,1131,3.28%,460,1.34%,,
Unknown,N/A,9790,N/A,52,0.53%,65,0.66%,,
,,,,,,,,,
Total,"470,313",46792,994.91,1252,2.68%,535,1.14%,,
