,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",3523,363.85,13,0.37%,0,0.00%,,,
18-44,"173,546",15828,912.03,132,0.83%,9,0.06%,,,
45-64,"116,740",8153,698.39,218,2.67%,39,0.48%,,,
65-74,"40,633",2255,554.97,144,6.39%,71,3.15%,,,
75+,"28,440",1573,553.09,234,14.88%,171,10.87%,,,
,,,,,,,,,,
Females,242211,16370,675.86,367,2.24%,116,0.71%,,,
Males,228102,14631,641.42,372,2.54%,174,1.19%,,,
Unknown,N/A,331,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,282,249.84,7,2.48%,1,0.35%,,,
Black,41858,2085,498.11,101,4.84%,25,1.20%,,,
White,404469,20451,505.63,597,2.92%,233,1.14%,,,
Hawaiian/Pacific Islander,470,41,872.34,4,9.76%,1,2.44%,,,
Other ,12229,943,771.12,14,1.48%,2,0.21%,,,
Unknown,N/A,7530,N/A,18,0.24%,28,0.37%,,,
,,,,,,,,,,
Hispanic,20694,1673,808.45,55,3.29%,8,0.48%,,,
Non-Hispanic,449619,18409,409.44,661,3.59%,248,1.35%,,,
Unknown,N/A,11250,N/A,25,0.22%,34,0.30%,,,
,,,,,,,,,,
Total,"470,313",31332,666.19,741,2.36%,290,0.93%,,,
