,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",853,88.10,9,1.06%,0,0.00%,,,
18-44,"173,546",5314,306.20,89,1.67%,5,0.09%,,,
45-64,"116,740",1766,151.28,105,5.95%,16,0.91%,,,
65-74,"40,633",457,112.47,41,8.97%,15,3.28%,,,
75+,"28,440",299,105.13,62,20.74%,31,10.37%,,,
,,,,,,,,,,
Females,242211,4487,185.25,158,3.52%,24,0.53%,,,
Males,228102,4149,181.89,150,3.62%,43,1.04%,,,
Unknown,N/A,53,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,100,88.60,2,2.00%,0,0.00%,,,
Black,41858,913,218.12,64,7.01%,10,1.10%,,,
White,404469,6219,153.76,222,3.57%,48,0.77%,,,
Hawaiian/Pacific Islander,470,25,531.91,4,16.00%,0,0.00%,,,
Other ,12229,409,334.45,9,2.20%,2,0.49%,,,
Unknown,N/A,1023,N/A,7,0.68%,7,0.68%,,,
,,,,,,,,,,
Hispanic,20694,1092,527.69,46,4.21%,5,0.46%,,,
Non-Hispanic,449619,6390,142.12,254,3.97%,51,0.80%,,,
Unknown,N/A,1207,N/A,8,0.66%,11,0.91%,,,
,,,,,,,,,,
Total,"470,313",8689,184.75,308,3.54%,67,0.77%,,,
