,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",732,75.60,8,1.09%,0,0.00%,,,
18-44,"173,546",4176,240.63,74,1.77%,5,0.12%,,,
45-64,"116,740",1592,136.37,100,6.28%,16,1.01%,,,
65-74,"40,633",387,95.24,36,9.30%,13,3.36%,,,
75+,"28,440",254,89.31,52,20.47%,28,11.02%,,,
,,,,,,,,,,
Females,242211,3665,151.31,137,3.74%,23,0.63%,,,
Males,228102,3430,150.37,133,3.88%,39,1.14%,,,
Unknown,N/A,46,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,69,61.13,2,2.90%,0,0.00%,,,
Black,41858,815,194.71,57,6.99%,10,1.23%,,,
White,404469,5048,124.81,192,3.80%,43,0.85%,,,
Hawaiian/Pacific Islander,470,20,425.53,4,20.00%,0,0.00%,,,
Other ,12229,373,305.01,8,2.14%,2,0.54%,,,
Unknown,N/A,816,N/A,7,0.86%,7,0.86%,,,
,,,,,,,,,,
Hispanic,20694,991,478.88,45,4.54%,5,0.50%,,,
Non-Hispanic,449619,5133,114.16,218,4.25%,46,0.90%,,,
Unknown,N/A,1017,N/A,7,0.69%,11,1.08%,,,
,,,,,,,,,,
Total,"470,313",7141,151.84,270,3.78%,62,0.87%,,,
