,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",3294,340.20,13,0.39%,0,0.00%,,,
18-44,"173,546",15030,866.05,132,0.88%,9,0.06%,,,
45-64,"116,740",7608,651.70,208,2.73%,32,0.42%,,,
65-74,"40,633",2124,522.73,133,6.26%,62,2.92%,,,
75+,"28,440",1462,514.06,221,15.12%,163,11.15%,,,
,,,,,,,,,,
Females,242211,15446,637.71,355,2.30%,107,0.69%,,,
Males,228102,13760,603.24,354,2.57%,159,1.16%,,,
Unknown,N/A,312,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,266,235.67,7,2.63%,1,0.38%,,,
Black,41858,1978,472.55,99,5.01%,24,1.21%,,,
White,404469,19274,476.53,569,2.95%,213,1.11%,,,
Hawaiian/Pacific Islander,470,40,851.06,4,10.00%,1,2.50%,,,
Other ,12229,893,730.23,14,1.57%,2,0.22%,,,
Unknown,N/A,7067,N/A,18,0.25%,27,0.38%,,,
,,,,,,,,,,
Hispanic,20694,1635,790.08,51,3.12%,8,0.49%,,,
Non-Hispanic,449619,17581,391.02,636,3.62%,225,1.28%,,,
Unknown,N/A,10302,N/A,24,0.23%,33,0.32%,,,
,,,,,,,,,,
Total,"470,313",29518,627.62,711,2.41%,266,0.90%,,,
