,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5973,616.88,27,0.45%,0,0.00%,,,
18-44,"173,546",24134,1390.64,175,0.73%,11,0.05%,,,
45-64,"116,740",12969,1110.93,359,2.77%,84,0.65%,,,
65-74,"40,633",3652,898.78,299,8.19%,141,3.86%,,,
75+,"28,440",2614,919.13,460,17.60%,370,14.15%,,,
,,,,,,,,,,
Females,242211,26141,1079.27,660,2.52%,279,1.07%,,,
Males,228102,22866,1002.45,656,2.87%,327,1.43%,,,
Unknown,N/A,335,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,603,534.24,13,2.16%,5,0.83%,,,
Black,41858,3693,882.27,149,4.03%,38,1.03%,,,
White,404469,37392,924.47,1101,2.94%,532,1.42%,,,
Hawaiian/Pacific Islander,470,59,1255.32,4,6.78%,0,0.00%,,,
Other ,12229,1590,1300.19,22,1.38%,3,0.19%,,,
Unknown,N/A,6005,N/A,31,0.52%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2655,1282.98,71,2.67%,6,0.23%,,,
Non-Hispanic,449619,37024,823.45,1195,3.23%,542,1.46%,,,
Unknown,N/A,9663,N/A,54,0.56%,58,0.60%,,,
,,,,,,,,,,
Total,"470,313",49342,1049.13,1320,2.68%,606,1.23%,,,
