,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",1226,126.62,10,0.82%,0,0.00%,,
18-44,"173,546",6899,397.53,102,1.48%,5,0.07%,,
45-64,"116,740",2546,218.09,141,5.54%,21,0.82%,,
65-74,"40,633",681,167.60,68,9.99%,23,3.38%,,
75+,"28,440",409,143.81,80,19.56%,41,10.02%,,
,,,,,,,,,
Females,242211,6087,251.31,212,3.48%,29,0.48%,,
Males,228102,5615,246.16,189,3.37%,58,1.03%,,
Unknown,N/A,59,N/A,0,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,134,118.72,2,1.49%,0,0.00%,,
Black,41858,1141,272.59,81,7.10%,15,1.31%,,
White,404469,8691,214.87,296,3.41%,71,0.82%,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,
Other ,12229,486,397.42,11,2.26%,2,0.41%,,
Unknown,N/A,1279,N/A,7,0.55%,2,0.16%,,
,,,,,,,,,
Hispanic,20694,1240,599.21,49,3.95%,4,0.32%,,
Non-Hispanic,449619,9068,201.68,343,3.78%,80,0.88%,,
Unknown,N/A,1453,N/A,9,0.62%,6,0.41%,,
,,,,,,,,,
Total,"470,313",11761,250.07,401,3.41%,90,0.77%,,
