,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1947,201.08,13,0.67%,0,0.00%,,,
18-44,"173,546",9978,574.95,125,1.25%,6,0.06%,,,
45-64,"116,740",4364,373.82,187,4.29%,25,0.57%,,,
65-74,"40,633",1207,297.05,102,8.45%,37,3.07%,,,
75+,"28,440",806,283.40,153,18.98%,84,10.42%,,,
,,,,,,,,,,
Females,242211,9536,393.71,293,3.07%,56,0.59%,,,
Males,228102,8608,377.38,285,3.31%,96,1.12%,,,
Unknown,N/A,158,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,195,172.77,5,2.56%,1,0.51%,,,
Black,41858,1474,352.14,88,5.97%,17,1.15%,,,
White,404469,13441,332.31,460,3.42%,122,0.91%,,,
Hawaiian/Pacific Islander,470,36,765.96,4,11.11%,0,0.00%,,,
Other ,12229,641,524.16,13,2.03%,2,0.31%,,,
Unknown,N/A,2515,N/A,10,0.40%,10,0.40%,,,
,,,,,,,,,,
Hispanic,20694,1456,703.59,49,3.37%,4,0.27%,,,
Non-Hispanic,449619,13614,302.79,519,3.81%,131,0.96%,,,
Unknown,N/A,3232,N/A,12,0.37%,17,0.53%,,,
,,,,,,,,,,
Total,"470,313",18302,389.15,580,3.17%,153,0.84%,,,
