,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5221,539.21,23,0.44%,0,0.00%,,,
18-44,"173,546",21835,1258.17,158,0.72%,10,0.05%,,,
45-64,"116,740",11622,995.55,316,2.72%,74,0.64%,,,
65-74,"40,633",3306,813.62,258,7.80%,121,3.66%,,,
75+,"28,440",2420,850.91,420,17.36%,297,12.27%,,,
,,,,,,,,,,
Females,242211,23484,969.57,600,2.55%,226,0.96%,,,
Males,228102,20552,901.00,572,2.78%,276,1.34%,,,
Unknown,N/A,368,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,470,416.41,12,2.55%,4,0.85%,,,
Black,41858,3226,770.70,128,3.97%,33,1.02%,,,
White,404469,32705,808.59,977,2.99%,414,1.27%,,,
Hawaiian/Pacific Islander,470,50,1063.83,4,8.00%,1,2.00%,,,
Other ,12229,1419,1160.36,19,1.34%,3,0.21%,,,
Unknown,N/A,6481,N/A,35,0.54%,47,0.73%,,,
,,,,,,,,,,
Hispanic,20694,2453,1185.37,65,2.65%,9,0.37%,,,
Non-Hispanic,449619,31388,698.10,1047,3.34%,433,1.38%,,,
Unknown,N/A,10563,N/A,63,0.60%,60,0.57%,,,
,,,,,,,,,,
Total,"470,313",44404,944.14,1175,2.65%,502,1.13%,,,
