,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,21110,2174.34,66,0.31%,0,0.00%
18-44,183183,57548,3141.56,300,0.52%,51,0.09%
45-64,116628,29919,2565.34,677,2.26%,253,0.85%
65-74,46724,7974,1706.62,638,8.00%,284,3.56%
75+,31987,5124,1601.90,838,16.35%,596,11.63%
,,,,,,,
Females,244460,65405,2675.49,1255,1.92%,531,0.81%
Males,231149,55456,2399.15,1261,2.27%,653,1.18%
Unknown,N/A,814,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,1417,1207.29,22,1.55%,9,0.64%
Black,42291,9844,2327.68,314,3.19%,110,1.12%
White,408000,84463,2070.17,2082,2.46%,1023,1.21%
Hawaiian/Pacific Islander,585,136,2324.79,5,3.68%,1,0.74%
Other ,12996,7939,6108.80,44,0.55%,6,0.08%
Unknown,N/A,17876,N/A,52,0.29%,35,0.20%
,,,,,,,
Hispanic,22336,4340,1943.05,99,2.28%,17,0.39%
Non-Hispanic,453273,79108,1745.26,2289,2.89%,1072,1.36%
Unknown,N/A,38227,N/A,131,0.34%,95,0.25%
,,,,,,,
Total,"475,609",121675,2558.30,2519,2.07%,1184,0.97%
