,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13405,1380.72,49,0.37%,0,0.00%
18-44,183183,36586,1997.24,253,0.69%,40,0.11%
45-64,116628,19073,1635.37,513,2.69%,180,0.94%
65-74,46724,5203,1113.56,478,9.19%,222,4.27%
75+,31987,3499,1093.88,640,18.29%,458,13.09%
,,,,,,,
Females,244460,41164,1683.87,965,2.34%,402,0.98%
Males,231149,35902,1553.20,965,2.69%,498,1.39%
Unknown,N/A,700,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,797,679.05,19,2.38%,7,0.88%
Black,42291,6500,1536.97,237,3.65%,83,1.28%
White,408000,55996,1372.45,1599,2.86%,775,1.38%
Hawaiian/Pacific Islander,585,91,1555.56,4,4.40%,0,0.00%
Other ,12996,3866,2974.76,33,0.85%,5,0.13%
Unknown,N/A,10516,N/A,41,0.39%,30,0.29%
,,,,,,,
Hispanic,22336,3489,1562.05,85,2.44%,11,0.32%
Non-Hispanic,453273,55237,1218.63,1754,3.18%,817,1.48%
Unknown,N/A,19040,N/A,94,0.49%,72,0.38%
,,,,,,,
Total,"475,609",77766,1635.08,1933,2.49%,900,1.16%
