,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",6056,625.45,28,0.46%,0,0.00%,,,
18-44,"173,546",24455,1409.14,181,0.74%,11,0.04%,,,
45-64,"116,740",13133,1124.98,371,2.82%,90,0.69%,,,
65-74,"40,633",3686,907.14,304,8.25%,143,3.88%,,,
75+,"28,440",2621,921.59,462,17.63%,374,14.27%,,,
,,,,,,,,,,
Females,242211,26447,1091.90,672,2.54%,285,1.08%,,,
Males,228102,23167,1015.64,670,2.89%,333,1.44%,,,
Unknown,N/A,337,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,608,538.67,13,2.14%,5,0.82%,,,
Black,41858,3729,890.87,152,4.08%,41,1.10%,,,
White,404469,37987,939.18,1123,2.96%,541,1.42%,,,
Hawaiian/Pacific Islander,470,59,1255.32,4,6.78%,0,0.00%,,,
Other ,12229,1613,1319.00,22,1.36%,3,0.19%,,,
Unknown,N/A,5955,N/A,32,0.54%,28,0.47%,,,
,,,,,,,,,,
Hispanic,20694,2689,1299.41,72,2.68%,6,0.22%,,,
Non-Hispanic,449619,37720,838.93,1219,3.23%,554,1.47%,,,
Unknown,N/A,9542,N/A,55,0.58%,58,0.61%,,,
,,,,,,,,,,
Total,"470,313",49951,1062.08,1346,2.69%,618,1.24%,,,
