,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",641,66.20,6,0.94%,0,0.00%,,,
18-44,"173,546",3552,204.67,66,1.86%,5,0.14%,,,
45-64,"116,740",1445,123.78,95,6.57%,16,1.11%,,,
65-74,"40,633",330,81.21,33,10.00%,9,2.73%,,,
75+,"28,440",221,77.71,51,23.08%,25,11.31%,,,
,,,,,,,,,,
Females,242211,3157,130.34,126,3.99%,21,0.67%,,,
Males,228102,3047,133.58,125,4.10%,34,1.12%,,,
,,,,,,,,,,
Asian,11287,54,47.84,2,3.70%,0,0.00%,,,
Black,41858,748,178.70,53,7.09%,10,1.34%,,,
White,404469,4247,105.00,177,4.17%,36,0.85%,,,
Hawaiian/Pacific Islander,470,18,382.98,4,22.22%,0,0.00%,,,
Other ,12229,350,286.20,8,2.29%,2,0.57%,,,
Unknown,N/A,829,N/A,7,0.84%,7,0.84%,,,
,,,,,,,,,,
Hispanic,20694,904,436.84,44,4.87%,5,0.55%,,,
Non-Hispanic,449619,4359,96.95,200,4.59%,39,0.89%,,,
Unknown,N/A,983,N/A,7,0.71%,11,1.12%,,,
,,,,,,,,,,
Total,"470,313",6246,132.81,251,4.02%,55,0.88%,,,
