,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1301,134.36,11,0.85%,0,0.00%,,,
18-44,"173,546",7185,414.01,107,1.49%,5,0.07%,,,
45-64,"116,740",2747,235.31,149,5.42%,21,0.76%,,,
65-74,"40,633",737,181.38,75,10.18%,23,3.12%,,,
75+,"28,440",448,157.52,90,20.09%,46,10.27%,,,
,,,,,,,,,,
Females,242211,6420,265.06,229,3.57%,35,0.55%,,,
Males,228102,5931,260.02,203,3.42%,60,1.01%,,,
Unknown,N/A,67,N/A,0,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,138,122.26,3,2.17%,0,0.00%,,,
Black,41858,1180,281.91,84,7.12%,15,1.27%,,,
White,404469,9154,226.32,319,3.48%,76,0.83%,,,
Hawaiian/Pacific Islander,470,30,638.30,4,13.33%,0,0.00%,,,
Other ,12229,498,407.23,13,2.61%,2,0.40%,,,
Unknown,N/A,1418,N/A,9,0.63%,2,0.14%,,,
,,,,,,,,,,
Hispanic,20694,1276,616.60,49,3.84%,4,0.31%,,,
Non-Hispanic,449619,9527,211.89,373,3.92%,84,0.88%,,,
Unknown,N/A,1615,N/A,10,0.62%,7,0.43%,,,
,,,,,,,,,,
Total,"470,313",12418,264.04,432,3.48%,95,0.77%,,,
