,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,8150,839.45,33,0.40%,0,0.00%
18-44,183183,28697,1566.58,207,0.72%,15,0.05%
45-64,116628,15022,1288.03,418,2.78%,115,0.77%
65-74,46724,4149,887.98,353,8.51%,156,3.76%
75+,31987,2868,896.61,517,18.03%,398,13.88%
,,,,,,,
Females,244460,31184,1275.63,769,2.47%,304,0.97%
Males,231149,27234,1178.20,756,2.78%,380,1.40%
Unknown,N/A,468,N/A,3,0.00%,0,0.00%
,,,,,,,
Asian,11737,666,567.44,16,2.40%,6,0.90%
Black,42291,4738,1120.33,180,3.80%,49,1.03%
White,408000,43875,1075.37,1269,2.89%,596,1.36%
Hawaiian/Pacific Islander,585,74,1264.96,4,5.41%,0,0.00%
Other ,12996,2433,1872.11,27,1.11%,5,0.21%
Unknown,N/A,7100,N/A,32,0.45%,28,0.39%
,,,,,,,
Hispanic,22336,2933,1313.13,77,2.63%,8,0.27%
Non-Hispanic,453273,43352,956.42,1383,3.19%,615,1.42%
Unknown,N/A,12601,N/A,68,0.54%,61,0.48%
,,,,,,,
Total,"475,609",58886,1238.12,1528,2.59%,684,1.16%
