,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,97087,9421,970.37,34,0.36%,0,0.00%,,,
18-44,183183,29994,1637.38,215,0.72%,18,0.06%,,,
45-64,116628,15571,1335.10,429,2.76%,120,0.77%,,,
65-74,46724,4262,912.17,362,8.49%,166,3.89%,,,
75+,31987,2927,915.06,527,18.00%,403,13.77%,,,
,,,,,,,,,,
Females,244460,32936,1347.30,783,2.38%,312,0.95%,,,
Males,231149,28713,1242.19,781,2.72%,395,1.38%,,,
Unknown,N/A,526,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11737,689,587.03,16,2.32%,6,0.87%,,,
Black,42291,5057,1195.76,186,3.68%,55,1.09%,,,
White,408000,45645,1118.75,1301,2.85%,613,1.34%,,,
Hawaiian/Pacific Islander,585,78,1333.33,4,5.13%,0,0.00%,,,
Other ,12996,2721,2093.72,27,0.99%,5,0.18%,,,
Unknown,N/A,7985,N/A,33,0.41%,28,0.35%,,,
,,,,,,,,,,
Hispanic,22336,3045,1363.27,77,2.53%,10,0.33%,,,
Non-Hispanic,453273,45047,993.82,1417,3.15%,636,1.41%,,,
Unknown,N/A,14083,N/A,73,0.52%,61,0.43%,,,
,,,,,,,,,,
Total,"475,609",62175,1307.27,1567,2.52%,707,1.14%,,,
