,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4093,422.72,19,0.46%,0,0.00%,,,
18-44,"173,546",18364,1058.16,142,0.77%,10,0.05%,,,
45-64,"116,740",9727,833.22,257,2.64%,51,0.52%,,,
65-74,"40,633",2744,675.31,188,6.85%,82,2.99%,,,
75+,"28,440",1967,691.63,289,14.69%,218,11.08%,,,
,,,,,,,,,,
Females,242211,19413,801.49,447,2.30%,152,0.78%,,,
Males,228102,17114,750.28,446,2.61%,209,1.22%,,,
Unknown,N/A,368,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,351,310.98,8,2.28%,2,0.57%,,,
Black,41858,2564,612.55,108,4.21%,28,1.09%,,,
White,404469,25801,637.90,735,2.85%,285,1.10%,,,
Hawaiian/Pacific Islander,470,4,85.11,4,100.00%,1,25.00%,,,
Other ,12229,1102,901.14,15,1.36%,3,0.27%,,,
Unknown,N/A,7073,N/A,25,0.35%,42,0.59%,,,
,,,,,,,,,,
Hispanic,20694,1968,951.00,57,2.90%,9,0.46%,,,
Non-Hispanic,449619,23859,530.65,797,3.34%,306,1.28%,,,
Unknown,N/A,11068,N/A,41,0.37%,46,0.42%,,,
,,,,,,,,,,
Total,"470,313",36895,784.48,895,2.43%,361,0.98%,,,
