,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",1934,199.74,12,0.62%,0,0.00%,,,
18-44,"173,546",9936,572.53,123,1.24%,6,0.06%,,,
45-64,"116,740",4325,370.48,185,4.28%,25,0.58%,,,
65-74,"40,633",1197,294.59,99,8.27%,37,3.09%,,,
75+,"28,440",799,280.94,152,19.02%,84,10.51%,,,
,,,,,,,,,,
Females,242211,9475,391.19,288,3.04%,56,0.59%,,,
Males,228102,8557,375.14,281,3.28%,96,1.12%,,,
Unknown,N/A,159,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,192,170.11,5,2.60%,1,0.52%,,,
Black,41858,1466,350.23,88,6.00%,17,1.16%,,,
White,404469,13322,329.37,451,3.39%,122,0.92%,,,
Hawaiian/Pacific Islander,470,35,744.68,4,11.43%,0,0.00%,,,
Other ,12229,643,525.80,13,2.02%,2,0.31%,,,
Unknown,N/A,2533,N/A,10,0.39%,10,0.39%,,,
,,,,,,,,,,
Hispanic,20694,1453,702.14,49,3.37%,4,0.28%,,,
Non-Hispanic,449619,13457,299.30,510,3.79%,131,0.97%,,,
Unknown,N/A,3281,N/A,12,0.37%,17,0.52%,,,
,,,,,,,,,,
Total,"470,313",18191,386.78,571,3.14%,153,0.84%,,,
