,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",5741,592.92,27,0.47%,0,0.00%,,,
18-44,"173,546",23288,1341.89,168,0.72%,11,0.05%,,,
45-64,"116,740",12553,1075.30,343,2.73%,81,0.65%,,,
65-74,"40,633",3547,872.94,288,8.12%,132,3.72%,,,
75+,"28,440",2564,901.55,452,17.63%,321,12.52%,,,
,,,,,,,,,,
Females,242211,25249,1042.44,646,2.56%,245,0.97%,,,
Males,228102,22082,968.08,628,2.84%,300,1.36%,,,
Unknown,N/A,362,N/A,4,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,575,509.44,13,2.26%,4,0.70%,,,
Black,41858,3531,843.57,143,4.05%,34,0.96%,,,
White,404469,36013,890.38,1066,2.96%,455,1.26%,,,
Hawaiian/Pacific Islander,470,57,1212.77,4,7.02%,1,1.75%,,,
Other ,12229,1546,1264.21,21,1.36%,3,0.19%,,,
Unknown,N/A,5971,N/A,31,0.52%,48,0.80%,,,
,,,,,,,,,,
Hispanic,20694,2598,1255.44,70,2.69%,10,0.38%,,,
Non-Hispanic,449619,35464,788.76,1154,3.25%,469,1.32%,,,
Unknown,N/A,9631,N/A,54,0.56%,66,0.69%,,,
,,,,,,,,,,
Total,"470,313",47693,1014.07,1278,2.68%,545,1.14%,,,
