,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",4551,470.02,22,0.48%,0,0.00%,,,
18-44,"173,546",20064,1156.12,151,0.75%,10,0.05%,,,
45-64,"116,740",10659,913.05,289,2.71%,64,0.60%,,,
65-74,"40,633",3006,739.79,224,7.45%,94,3.13%,,,
75+,"28,440",2207,776.02,378,17.13%,255,11.55%,,,
,,,,,,,,,,
Females,242211,21374,882.45,543,2.54%,185,0.87%,,,
Males,228102,18743,821.69,518,2.76%,238,1.27%,,,
Unknown,N/A,370,N/A,3,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,438,388.06,11,2.51%,3,0.68%,,,
Black,41858,2907,694.49,121,4.16%,30,1.03%,,,
White,404469,29466,728.51,875,2.97%,342,1.16%,,,
Hawaiian/Pacific Islander,470,47,1000.00,4,8.51%,1,2.13%,,,
Other ,12229,1256,1027.07,18,1.43%,3,0.24%,,,
Unknown,N/A,6373,N/A,35,0.55%,44,0.69%,,,
,,,,,,,,,,
Hispanic,20694,2283,1103.22,61,2.67%,9,0.39%,,,
Non-Hispanic,449619,27885,620.19,943,3.38%,363,1.30%,,,
Unknown,N/A,10319,N/A,60,0.58%,51,0.49%,,,
,,,,,,,,,,
Total,"470,313",40487,860.85,1064,2.63%,423,1.04%,,,
