,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13878,1429.44,49,0.35%,0,0.00%
18-44,183183,37603,2052.76,271,0.72%,40,0.11%
45-64,116628,19655,1685.27,577,2.94%,194,0.99%
65-74,46724,5369,1149.09,501,9.33%,234,4.36%
75+,31987,3621,1132.02,673,18.59%,472,13.04%
,,,,,,,
Females,244460,42434,1735.83,1028,2.42%,418,0.99%
Males,231149,36993,1600.40,1039,2.81%,522,1.41%
Unknown,N/A,699,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,843,718.24,19,2.25%,7,0.83%
Black,42291,6674,1578.11,253,3.79%,86,1.29%
White,408000,58097,1423.95,1715,2.95%,811,1.40%
Hawaiian/Pacific Islander,585,90,1538.46,4,4.44%,0,0.00%
Other ,12996,3931,3024.78,36,0.92%,6,0.15%
Unknown,N/A,10491,N/A,44,0.42%,30,0.29%
,,,,,,,
Hispanic,22336,3591,1607.72,89,2.48%,13,0.36%
Non-Hispanic,453273,57565,1269.99,1881,3.27%,851,1.48%
Unknown,N/A,18970,N/A,101,0.53%,76,0.40%
,,,,,,,
Total,"475,609",80126,1684.70,2071,2.58%,940,1.17%
