,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,
0-17,"96,826",6411,662.12,28,0.44%,0,0.00%,,
18-44,"173,546",25550,1472.23,190,0.74%,13,0.05%,,
45-64,"116,740",13669,1170.89,397,2.90%,97,0.71%,,
65-74,"40,633",3787,932.00,317,8.37%,144,3.80%,,
75+,"28,440",2649,931.43,480,18.12%,385,14.53%,,
,,,,,,,,,
Females,242211,27554,1137.60,705,2.56%,289,1.05%,,
Males,228102,24170,1059.61,703,2.91%,350,1.45%,,
Unknown,N/A,342,N/A,4,0.00%,0,0.00%,,
,,,,,,,,,
Asian,11287,632,559.94,15,2.37%,6,0.95%,,
Black,41858,3932,939.37,162,4.12%,44,1.12%,,
White,404469,39777,983.44,1179,2.96%,558,1.40%,,
Hawaiian/Pacific Islander,470,64,1361.70,4,6.25%,0,0.00%,,
Other ,12229,1804,1475.18,22,1.22%,3,0.17%,,
Unknown,N/A,5857,N/A,30,0.51%,28,0.48%,,
,,,,,,,,,
Hispanic,20694,2788,1347.25,73,2.62%,6,0.22%,,
Non-Hispanic,449619,39728,883.59,1282,3.23%,574,1.44%,,
Unknown,N/A,9550,N/A,57,0.60%,59,0.62%,,
,,,,,,,,,
Total,"470,313",52066,1107.05,1412,2.71%,639,1.23%,,
