,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13488,1389.27,49,0.36%,0,0.00%
18-44,183183,36757,2006.57,258,0.70%,40,0.11%
45-64,116628,19187,1645.15,537,2.80%,180,0.94%
65-74,46724,5226,1118.48,484,9.26%,225,4.31%
75+,31987,3516,1099.20,652,18.54%,464,13.20%
,,,,,,,
Females,244460,41370,1692.30,985,2.38%,408,0.99%
Males,231149,36104,1561.94,991,2.74%,501,1.39%
Unknown,N/A,700,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,803,684.16,20,2.49%,7,0.87%
Black,42291,6525,1542.88,243,3.72%,84,1.29%
White,408000,56384,1381.96,1637,2.90%,783,1.39%
Hawaiian/Pacific Islander,585,91,1555.56,4,4.40%,0,0.00%
Other ,12996,3884,2988.61,34,0.88%,5,0.13%
Unknown,N/A,10487,N/A,42,0.40%,30,0.29%
,,,,,,,
Hispanic,22336,3513,1572.80,86,2.45%,13,0.37%
Non-Hispanic,453273,55718,1229.24,1800,3.23%,823,1.48%
Unknown,N/A,18943,N/A,94,0.50%,73,0.39%
,,,,,,,
Total,"475,609",78174,1643.66,1980,2.53%,909,1.16%
