,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate
0-17,97087,13530,1393.60,49,0.36%,0,0.00%
18-44,183183,36889,2013.78,259,0.70%,40,0.11%
45-64,116628,19266,1651.92,540,2.80%,180,0.93%
65-74,46724,5251,1123.83,485,9.24%,228,4.34%
75+,31987,3527,1102.64,655,18.57%,466,13.21%
,,,,,,,
Females,244460,41523,1698.56,989,2.38%,409,0.98%
Males,231149,36237,1567.69,995,2.75%,505,1.39%
Unknown,N/A,703,N/A,4,0.00%,0,0.00%
,,,,,,,
Asian,11737,809,689.27,20,2.47%,7,0.87%
Black,42291,6544,1547.37,244,3.73%,85,1.30%
White,408000,56636,1388.14,1643,2.90%,787,1.39%
Hawaiian/Pacific Islander,585,91,1555.56,4,4.40%,0,0.00%
Other ,12996,3885,2989.38,34,0.88%,5,0.13%
Unknown,N/A,10498,N/A,43,0.41%,30,0.29%
,,,,,,,
Hispanic,22336,3533,1581.75,87,2.46%,13,0.37%
Non-Hispanic,453273,55948,1234.31,1806,3.23%,828,1.48%
Unknown,N/A,18982,N/A,95,0.50%,73,0.38%
,,,,,,,
Total,"475,609",78463,1649.74,1988,2.53%,914,1.16%
