,Population,Total Cases,Cases per 10k in Group,Hospitalized,Hospitalized Rate,Deaths,Death Rate,,,
0-17,"96,826",2282,235.68,14,0.61%,0,0.00%,,,
18-44,"173,546",11321,652.33,128,1.13%,7,0.06%,,,
45-64,"116,740",5243,449.12,194,3.70%,28,0.53%,,,
65-74,"40,633",1464,360.30,111,7.58%,43,2.94%,,,
75+,"28,440",970,341.07,173,17.84%,108,11.13%,,,
,,,,,,,,,,
Females,242211,11088,457.78,312,2.81%,71,0.64%,,,
Males,228102,9999,438.36,306,3.06%,115,1.15%,,,
Unknown,N/A,193,N/A,2,0.00%,0,0.00%,,,
,,,,,,,,,,
Asian,11287,218,193.14,5,2.29%,1,0.46%,,,
Black,41858,1623,387.74,94,5.79%,22,1.36%,,,
White,404469,15158,374.76,496,3.27%,148,0.98%,,,
Hawaiian/Pacific Islander,470,38,808.51,4,10.53%,0,0.00%,,,
Other ,12229,680,556.06,13,1.91%,2,0.29%,,,
Unknown,N/A,3563,N/A,8,0.22%,13,0.36%,,,
,,,,,,,,,,
Hispanic,20694,1525,736.93,49,3.21%,7,0.46%,,,
Non-Hispanic,449619,14913,331.68,551,3.69%,159,1.07%,,,
Unknown,N/A,4842,N/A,20,0.41%,20,0.41%,,,
,,,,,,,,,,
Total,"470,313",21280,452.46,620,2.91%,186,0.87%,,,
